i theta rho
10000 1.46395 0
11000 0.972387 0
12000 1.98728 0
13000 1.55132 0
14000 1.69948 0
15000 2.26415 0
16000 1.49252 0
17000 1.00467 0
18000 0.96854 0
19000 1.34816 0
20000 0.728588 0
21000 0.703762 0
22000 1.3761 0
23000 0.661479 0
24000 0.69822 0
25000 0.521324 0
26000 0.83686 0
27000 1.02671 0
28000 0.708817 0
29000 0.92146 0
30000 0.725016 0
31000 0.743681 0
32000 1.21587 0
33000 1.02732 0
34000 1.15762 0
35000 0.621816 0
36000 0.749945 0
37000 1.18018 0
38000 0.889522 0
39000 0.596812 0
40000 1.61291 0
41000 0.916607 0
42000 0.673923 0
43000 0.778524 0
44000 1.2629 0
45000 1.3469 0
46000 1.14061 0
47000 1.00631 0
48000 1.00646 0
49000 1.52901 0
50000 1.1819 0
